algorithm,size,median_ms,min_ms,max_ms,p95_ms,iterations
discover_dfg,100,0.198,0.184,0.220,0.220,7
discover_dfg,1000,0.708,0.668,3.627,3.627,7
discover_dfg,5000,3.306,3.079,4.250,4.250,7
discover_dfg,10000,6.465,6.128,7.412,7.412,7
discover_declare,100,0.067,0.065,0.086,0.086,7
discover_declare,1000,0.664,0.641,0.776,0.776,7
discover_declare,5000,2.945,2.849,3.414,3.414,7
discover_heuristic_miner,100,0.068,0.066,0.081,0.081,7
discover_heuristic_miner,1000,0.554,0.535,0.680,0.680,7
discover_heuristic_miner,5000,2.906,2.664,3.182,3.182,7
discover_heuristic_miner,10000,5.838,5.767,6.396,6.396,7
discover_alpha_plus_plus,100,0.095,0.094,0.099,0.099,7
discover_alpha_plus_plus,1000,0.893,0.879,0.972,0.972,7
discover_alpha_plus_plus,5000,4.548,4.417,4.921,4.921,7
discover_alpha_plus_plus,10000,8.929,8.518,9.723,9.723,7
discover_inductive_miner,100,0.115,0.114,0.118,0.118,7
discover_inductive_miner,1000,1.114,1.108,1.149,1.149,7
discover_inductive_miner,5000,5.133,4.945,5.470,5.470,7
discover_inductive_miner,10000,12.697,11.514,13.014,13.014,7
discover_hill_climbing,100,0.047,0.046,0.052,0.052,7
discover_hill_climbing,1000,1.427,1.321,1.877,1.877,7
discover_hill_climbing,5000,11.687,10.483,12.312,12.312,7
discover_hill_climbing,10000,52.056,47.461,52.953,52.953,7
extract_process_skeleton,100,0.093,0.092,0.105,0.105,7
extract_process_skeleton,1000,0.867,0.852,0.951,0.951,7
extract_process_skeleton,5000,4.493,4.257,4.757,4.757,7
extract_process_skeleton,10000,8.610,8.542,8.949,8.949,7
analyze_event_statistics,100,0.002,0.002,0.003,0.003,7
analyze_event_statistics,1000,0.003,0.002,0.011,0.011,7
analyze_event_statistics,5000,0.007,0.007,0.010,0.010,7
analyze_event_statistics,10000,0.011,0.008,0.013,0.013,7
discover_astar,100,0.510,0.401,0.673,0.673,7
discover_astar,1000,4.340,3.202,4.589,4.589,7
discover_astar,5000,46.104,34.159,54.399,54.399,7
discover_simulated_annealing,100,0.767,0.637,0.929,0.929,7
discover_simulated_annealing,1000,5.843,4.996,7.251,7.251,7
discover_simulated_annealing,5000,23.713,17.527,33.333,33.333,7
discover_ant_colony,100,0.578,0.564,0.628,0.628,7
discover_ant_colony,1000,3.287,3.174,3.734,3.734,7
discover_ant_colony,5000,16.557,14.232,18.436,18.436,7
analyze_trace_variants,100,0.167,0.156,0.180,0.180,7
analyze_trace_variants,1000,0.843,0.774,0.915,0.915,7
analyze_trace_variants,5000,3.270,3.176,3.882,3.882,7
analyze_trace_variants,10000,7.302,6.510,7.905,7.905,7
mine_sequential_patterns,100,0.200,0.192,0.209,0.209,7
mine_sequential_patterns,1000,1.208,1.120,1.462,1.462,7
mine_sequential_patterns,5000,6.249,6.033,6.435,6.435,7
detect_concept_drift,100,1.708,1.645,2.561,2.561,7
detect_concept_drift,1000,30.632,27.264,30.776,30.776,7
detect_concept_drift,5000,144.319,141.447,154.721,154.721,7
cluster_traces,100,0.277,0.272,0.331,0.331,7
cluster_traces,1000,1.034,1.027,1.050,1.050,7
cluster_traces,5000,5.141,5.096,5.715,5.715,7
discover_genetic_algorithm,100,0.786,0.728,1.236,1.236,7
discover_genetic_algorithm,500,3.726,3.567,4.066,4.066,7
discover_genetic_algorithm,1000,6.952,5.535,7.629,7.629,7
discover_pso_algorithm,100,1.672,1.566,1.958,1.958,7
discover_pso_algorithm,500,7.110,6.238,15.087,15.087,7
discover_pso_algorithm,1000,14.396,12.345,16.540,16.540,7
discover_ilp_petri_net,100,0.453,0.397,0.469,0.469,7
discover_ilp_petri_net,500,1.655,1.628,1.774,1.774,7
discover_ilp_petri_net,1000,3.189,2.984,3.236,3.236,7
analyze_variant_complexity,100,0.218,0.174,0.287,0.287,7
analyze_variant_complexity,1000,1.158,1.064,1.392,1.392,7
analyze_variant_complexity,5000,4.842,4.751,5.119,5.119,7
analyze_variant_complexity,10000,8.731,7.924,9.559,9.559,7
compute_activity_transition_matrix,100,0.246,0.216,1.708,1.708,7
compute_activity_transition_matrix,1000,1.599,1.466,1.673,1.673,7
compute_activity_transition_matrix,5000,7.499,6.576,7.737,7.737,7
compute_activity_transition_matrix,10000,12.891,12.790,14.891,14.891,7
detect_rework,100,0.061,0.061,0.065,0.065,7
detect_rework,1000,0.589,0.503,0.600,0.600,7
detect_rework,5000,2.392,2.375,2.871,2.871,7
detect_rework,10000,5.421,4.721,5.854,5.854,7
