Profile,Count,Algorithms,Min(ms),Mean(ms),Median(ms),Max(ms),p95(ms),StdDev(ms)
fast,19,5,0.002,1.907,0.641,9.203,9.203,2.515
balanced,16,4,0.042,6.767,2.875,50.409,50.409,12.012
quality,18,6,0.385,7.170,3.253,39.194,39.194,10.141
analytics,21,6,0.158,11.429,1.733,146.429,30.894,30.929
